AWSFileName	AWSFolderName
TarZoo_F_B20093	Captive
TarZoo_M_B60339	Captive
TarZoo_M_B70170	Captive
TarZoo_F_B80238	Captive
Featherdale_F_46850	Captive
Featherdale_M_46851	Captive
Featherdale_F_46857	Captive
Featherdale_F_46860	Captive
Featherdale_F_46861	Captive
Featherdale_F_46865	Captive
Featherdale_M_46878	Captive
Featherdale_M_46879	Captive
Armidale_M_M7070	NSW_Armidale
Armidale_F_M50273	NSW_Armidale
Northern-Rivers_M_M50329	NSW_Ballina
Broadwater_F_50414	NSW_Ballina
Broadwater_M_50439	NSW_Ballina
Northern-Rivers_M_M50450	NSW_Ballina
Coffs_Harbour_F_M44977	NSW_Bellingen
Wollemi_NP_U_M50543_001	NSW_Blayney
Blue_Mountains_F_7094923	NSW_Greater_Blue_Mountains
Blue_Mountains_F_7094976	NSW_Greater_Blue_Mountains
Blue_Mountains_F_7094979	NSW_Greater_Blue_Mountains
Blue_Mountains_M_7041293	NSW_Greater_Blue_Mountains
Byron_F_M50306_001	NSW_Byron
Byron_F_M50370_001	NSW_Byron
Byron_M_M50373_001	NSW_Byron
Byron_M_M50392_001	NSW_Byron
Byron_M_M50393_001	NSW_Byron
Byron_M_M50452	NSW_Byron
Byron_F_M50503	NSW_Byron
Byron_U_M50504	NSW_Byron
Byron_M_M50430	NSW_Byron
Byron_F_M50431	NSW_Byron
Byron_M_M50435	NSW_Byron
Byron_F_50524	NSW_Byron
Northern-Rivers_F_M50531	NSW_Byron
SW_Sydney_M_Biya	NSW_Campbelltown
Campbelltown_M_C10K1	NSW_Campbelltown
Campbelltown_M_C10K4	NSW_Campbelltown
Campbelltown_M_C11K1	NSW_Campbelltown
Campbelltown_F_C11K2	NSW_Campbelltown
Campbelltown_F_C12K2	NSW_Campbelltown
Campbelltown_M_C12K3	NSW_Campbelltown
Campbelltown_F_C12K4	NSW_Campbelltown
Campbelltown_F_C5K7	NSW_Campbelltown
Campbelltown_M_C5K8	NSW_Campbelltown
Campbelltown_M_C6K1	NSW_Campbelltown
Campbelltown_M_C6K2	NSW_Campbelltown
Campbelltown_F_C6K5	NSW_Campbelltown
Campbelltown_F_C7K2	NSW_Campbelltown
SW_Sydney_M_Dalang	NSW_Campbelltown
SW_Sydney_M_Giloa	NSW_Campbelltown
SW_Sydney_M_Kimber	NSW_Campbelltown
Campbelltown_M_Marble	NSW_Campbelltown
SW_Sydney_M_Mirribi	NSW_Campbelltown
SW_Sydney_M_Yung	NSW_Campbelltown
Clarence_Valley_M_M50294_001	NSW_Clarence_Valley
Clarence_Valley_M_M50344_001	NSW_Clarence_Valley
Clarence_Valley_M_M50359_001	NSW_Clarence_Valley
South_Clarence_F_M50437	NSW_Clarence_Valley
Grafton_M_M50499	NSW_Clarence_Valley
Coffs_Harbour_F_44980	NSW_Coffs_Harbour
Coffs_Harbour_M_44984	NSW_Coffs_Harbour
Coffs_Harbour_F_M47046	NSW_Coffs_Harbour
Dubbo_M_C11212	NSW_Dubbo
Dubbo_M_C11358	NSW_Dubbo
Dubbo_M_C11413	NSW_Dubbo
